Binomial	ID	year	popvalue
Amazona_versicolor	253	1950	1000
Branta_canadensis	3263	1961	15280
Anser_albifrons	3252	1961	820
Branta_canadensis	3263	1962	17740
Anser_albifrons	3252	1962	500
Branta_canadensis	3263	1963	39840
Anser_albifrons	3252	1963	690
Branta_canadensis	3263	1964	7980
Anser_albifrons	3252	1964	650
Branta_canadensis	3263	1965	28630
Anser_albifrons	3252	1965	1620
Branta_canadensis	3263	1966	26290
Anser_albifrons	3252	1966	390
Branta_canadensis	3263	1967	18670
Anser_albifrons	3252	1967	660
Atthis_heloisa	18826	1968	0.14925
Colibri_thalassinus	18823	1968	3.069575
Eugenes_fulgens	18820	1968	20.58985
Lampornis_amethystinus	18819	1968	0.89405
Lampornis_clemenciae	18816	1968	28.63585
Basilinna_leucotis	18808	1968	14.02093
Branta_canadensis	3263	1968	18940
Anser_albifrons	3252	1968	700
Atthis_heloisa	18826	1969	0.012475
Colibri_thalassinus	18823	1969	1.501625
Eugenes_fulgens	18820	1969	3.945025
Lampornis_amethystinus	18819	1969	4.0469
Lampornis_clemenciae	18816	1969	25.817325
Basilinna_leucotis	18808	1969	7.564325
Branta_canadensis	3263	1969	20130
Anser_albifrons	3252	1969	670
Branta_canadensis	3263	1970	20940
Anser_albifrons	3252	1970	2360
Branta_canadensis	3263	1971	26550
Anser_albifrons	3252	1971	1200
Branta_canadensis	3263	1972	20850
Anser_albifrons	3252	1972	1740
Branta_canadensis	3263	1973	34600
Anser_albifrons	3252	1973	1070
Amazona_vittata	254	1973	16
Branta_canadensis	3263	1974	40090
Anser_albifrons	3252	1974	1120
Amazona_vittata	254	1974	16
Quiscalus_niger	4693	1975	5428
Molothrus_bonariensis	4692	1975	1166
Branta_canadensis	3263	1975	49280
Anser_albifrons	3252	1975	2270
Amazona_vittata	254	1975	14
Agelaius_xanthomus	243	1975	1663
Amazona_tucumana	5641	1976	1525
Branta_canadensis	3263	1976	55520
Anser_albifrons	3252	1976	7870
Amazona_leucocephala	249	1976	625
Agelaius_xanthomus	247	1976	200
Agelaius_xanthomus	244	1976	200
Branta_canadensis	3263	1977	59960
Anser_albifrons	3252	1977	3490
Amazona_vittata	254	1977	18
Amazona_versicolor	253	1977	100
Amazona_arausiaca	248	1977	350
Geospiza_conirostris	6015	1978	17
Branta_canadensis	3263	1978	27730
Anser_albifrons	3252	1978	1930
Amazona_vittata	254	1978	19
Geospiza_conirostris	6015	1979	29
Branta_canadensis	3263	1979	14830
Anser_albifrons	3252	1979	1460
Amazona_vittata	254	1979	25
Geospiza_conirostris	6015	1980	31
Branta_canadensis	3263	1980	18590
Anser_albifrons	3252	1980	1390
Amazona_vittata	254	1980	18
Geospiza_conirostris	6015	1981	40
Branta_canadensis	3263	1981	21870
Anser_albifrons	3252	1981	3010
Amazona_vittata	254	1981	19
Agelaius_xanthomus	247	1981	220
Geospiza_conirostris	6015	1982	43
Quiscalus_niger	4693	1982	5415
Molothrus_bonariensis	4692	1982	1387
Branta_canadensis	3263	1982	105630
Anser_albifrons	3252	1982	2540
Amazona_vittata	254	1982	18
Agelaius_xanthomus	247	1982	310
Agelaius_xanthomus	244	1982	6
Agelaius_xanthomus	243	1982	266
Geospiza_conirostris	6015	1983	72
Branta_canadensis	3263	1983	70570
Anser_albifrons	3252	1983	1770
Geospiza_conirostris	6015	1984	46
Branta_canadensis	3263	1984	67160
Anser_albifrons	3252	1984	830
Buteo_platypterus	256	1984	50
Amazona_vittata	254	1984	29
Geospiza_conirostris	6015	1985	35
Accipiter_striatus	4694	1985	250
Branta_canadensis	3263	1985	74590
Anser_albifrons	3252	1985	590
Amazona_vittata	254	1985	25
Agelaius_xanthomus	244	1985	2
